zpid_index,zpid,homeStatus,resoFacts.homeType,yearBuilt,bedrooms,bathrooms,resoFacts.architecturalStyle,datePosted,pageViewCount,favoriteCount,longitude,latitude,address.state,address.zipcode,address.city,address.streetAddress,price,zestimate,rentZestimate,livingArea,resoFacts.pricePerSquareFoot,resoFacts.lotSize,annualHomeownersInsurance,propertyTaxRate,resoFacts.taxAnnualAmount,dateSold,resoFacts.heating,resoFacts.hasCooling,resoFacts.garageSpaces,resoFacts.hasGarage,resoFacts.basement,resoFacts.hasPrivatePool,resoFacts.hasFireplace,resoFacts.hasSpa,listed_by.business_name,yearsOld
25224723,25224723,FOR_SALE,SingleFamily,1973,3,2,0,2022-08-24,2613,117,-117.95721,33.818455,CA,92804,Anaheim,2149 W York Cir,598888,604404,2995,1343,446.0,"2,024 sqft",2515,0.69,0.0,0,"['Central', 'Natural Gas']",True,2,True,0,False,False,True,Livingstone Realty Investments,49
25334392,25334392,FOR_SALE,SingleFamily,1962,5,4,Traditional,2022-07-24,5805,227,-117.87973,33.82825,CA,92806,Anaheim,2516 E Ames Ave,1099000,1099000,4300,2830,388.0,"8,000 sqft",4616,0.69,0.0,2009-08-12,['Central'],True,2,True,Finished,True,True,True,Seven Gables Real Estate,60
25224276,25224276,FOR_SALE,SingleFamily,1958,5,3,Ranch,2022-09-08,346,11,-117.944305,33.82071,CA,92804,Anaheim,1762 W Chateau Ave,925000,946764,3456,1723,537.0,"6,000 sqft",3885,0.69,0.0,0,['Central'],True,2,True,0,True,True,True,Pacific Sotheby's Int'l Realty,64
25157924,25157924,FOR_SALE,SingleFamily,1953,3,1,0,2022-08-31,4549,175,-117.95226,33.835854,CA,92801,Anaheim,308 N Carol Dr,649900,657000,2600,887,733.0,"7,222 sqft",2730,0.69,0.0,0,"['Central', 'Forced Air', 'Natural Gas']",True,1,True,0,True,False,False,KELLER WILLIAMS BBLA,69
25218517,25218517,FOR_SALE,SingleFamily,1956,3,2,0,2022-09-08,484,23,-117.97813,33.81188,CA,92804,Anaheim,1415 S Verona St,729900,718900,2999,1125,649.0,"9,928 sqft",3066,0.69,0.0,0,['Wall Furnace'],True,2,True,0,False,True,False,Your Home Team Real Estate,66
25416563,25416563,FOR_SALE,SingleFamily,1975,3,3,"Contemporary,Mid Century Modern",2022-07-02,2939,64,-117.761375,33.833958,CA,92807,Anaheim,6584 E Paseo Diego,849895,845356,3835,1938,439.0,"2,673 sqft",3570,0.69,0.0,2012-01-03,['Central'],True,2,True,0,False,True,True,Seven Gables Real Estate,47
25127627,25127627,FOR_SALE,SingleFamily,1952,3,2,Ranch,2022-09-01,2352,114,-117.90068,33.846725,CA,92805,Anaheim,717 N Buttonwood St,749900,750300,3249,1299,577.0,"6,867 sqft",3150,0.69,0.0,0,['Central'],True,2,True,0,False,True,False,Century 21 Award,70
64702871,64702871,FOR_SALE,SingleFamily,2004,5,4,0,2022-09-08,141,1,-117.96447,33.83147,CA,92801,Anaheim,180 S Hidden Path,1100000,1100007,3800,2499,440.0,"3,139 sqft",4620,0.69,0.0,2007-05-21,['Central'],True,2,True,0,False,True,False,Coldwell Banker Realty,18
25165042,25165042,FOR_SALE,SingleFamily,1987,3,3,"Contemporary,Traditional",2022-07-16,7625,247,-117.776215,33.831905,CA,92807,Anaheim,6235 E Twin Peak Cir,848888,842300,3422,1464,580.0,"3,400 sqft",3565,0.69,0.0,2013-03-07,['Central'],True,2,True,0,False,True,False,T.N.G. Real Estate Consultants,35
2067483597,2067483597,FOR_SALE,SingleFamily,2005,6,4,Modern,2022-09-08,97,3,-117.95404,33.828613,CA,92804,Anaheim,2040 W Broadway,1399999,0,0,3137,446.0,"8,740 sqft",5880,0.69,0.0,2022-01-07,['Central'],True,2,True,0,False,True,False,T.N.G. Real Estate Consultants,17
25159836,25159836,FOR_SALE,SingleFamily,1955,4,2,0,2022-06-14,8149,267,-117.90271,33.848534,CA,92805,Anaheim,1320 E Sandalwood Ave,789900,813400,3300,1253,630.0,"6,000 sqft",3318,0.69,0.0,2013-06-11,"['Central', 'Forced Air', 'Natural Gas']",True,2,True,0,False,True,False,BHHS CA Properties,67
25130242,25130242,FOR_SALE,SingleFamily,1954,3,2,0,2022-09-03,2488,51,-117.90083,33.835594,CA,92805,Anaheim,313 S Dawn St,699000,700100,3200,1161,602.0,"6,100 sqft",2936,0.69,0.0,0,0,True,2,True,0,False,True,False,CA Home Seller,68
25333110,25333110,FOR_SALE,SingleFamily,1969,3,2,0,2022-08-09,3119,172,-117.88223,33.82076,CA,92806,Anaheim,1127 S Ambridge St,799000,799005,3200,1293,618.0,"5,000 sqft",3356,0.69,0.0,2013-05-20,['Central'],True,2,True,0,False,True,True,T.N.G. Real Estate Consultants,53
25513258,25513258,FOR_SALE,SingleFamily,1999,3,3,0,2022-09-08,307,18,-117.72724,33.861305,CA,92808,Anaheim,8648 E Windsong Dr,1199000,1052900,3899,2188,548.0,"4,495 sqft",5036,0.69,0.0,2000-10-31,['Central'],True,2,True,0,False,True,False,Keller Williams Realty,23
25403972,25403972,FOR_SALE,SingleFamily,1994,4,3,Mediterranean,2022-09-04,1974,107,-117.730286,33.862656,CA,92808,Anaheim,8596 E Canyon Vista Dr,1550000,1550000,4650,2952,525.0,"6,850 sqft",6510,0.69,0.0,2000-09-29,['Central'],True,3,True,0,True,True,True,T.N.G. Real Estate Consultants,28
25334726,25334726,FOR_SALE,SingleFamily,1962,4,2,Ranch,2022-09-01,1783,136,-117.87741,33.82336,CA,92806,Anaheim,2622 E Norm Pl,934999,936000,3699,1844,507.0,"7,210 sqft",3927,0.69,0.0,2014-08-12,['Central'],True,2,True,0,True,True,False,Century 21 LOTUS,60
25405795,25405795,FOR_SALE,SingleFamily,1975,4,3,0,2022-09-05,1020,39,-117.764824,33.849033,CA,92807,Anaheim,6572 E Via Arboles,1259000,1259000,3882,2048,615.0,0.30 Acres,5288,0.69,0.0,2019-03-27,['Central'],True,3,True,0,False,True,False,Realty One Group Diamond,47
25161385,25161385,FOR_SALE,SingleFamily,1956,3,2,0,2022-09-07,262,14,-118.00184,33.820732,CA,92804,Anaheim,3181 W Rome Ave,899000,887620,3200,1374,654.0,"7,275 sqft",3776,0.69,0.0,2022-06-08,['Central'],True,2,True,0,False,True,False,Compass Newport Beach,66
25223486,25223486,FOR_SALE,SingleFamily,1958,3,3,Contemporary,2022-09-07,257,6,-117.95536,33.827663,CA,92804,Anaheim,2115 W Elm Ave,895000,874600,3399,1745,513.0,"7,070 sqft",3759,0.69,0.0,2002-04-09,['Central'],True,2,True,0,True,True,False,ReMax Tiffany Real Estate,64
25403655,25403655,FOR_SALE,SingleFamily,1985,3,2,0,2022-08-24,5750,139,-117.75291,33.86297,CA,92808,Anaheim,214 S Raspberry Ln,882000,883600,3300,1310,673.0,"5,000 sqft",3704,0.69,0.0,2022-08-05,['Natural Gas'],True,2,True,0,0,True,False,Opendoor Brokerage Inc.,37
25406868,25406868,FOR_SALE,SingleFamily,1996,5,5,0,2022-08-19,6331,269,-117.75144,33.857166,CA,92808,Anaheim,858 S Blue Vista Cir,2200000,2200600,6749,4094,537.0,0.40 Acres,9240,0.69,0.0,2017-09-11,['Forced Air'],True,3,True,0,True,True,True,BHHS CA Properties,26
25153175,25153175,FOR_SALE,SingleFamily,1955,3,2,0,2022-09-06,248,9,-117.96983,33.84201,CA,92801,Anaheim,2441 W Greenacre Ave,835000,835100,3095,1143,731.0,"6,630 sqft",3507,0.69,0.0,2019-08-20,0,True,2,True,0,False,False,False,GMT Real Estate,67
25416236,25416236,FOR_SALE,SingleFamily,1973,3,2,0,2022-09-07,397,5,-117.758194,33.83897,CA,92807,Anaheim,718 S Camino Grande,789000,769800,3200,1539,513.0,"2,016 sqft",3314,0.69,0.0,2004-07-08,"['Central', 'Fireplace(s)', 'Natural Gas', 'Wood']",True,2,True,0,False,True,False,First Place Home Realty,49
25413343,25413343,FOR_SALE,SingleFamily,1990,6,10,Custom Built,2022-09-06,332,14,-117.81131,33.84233,CA,92807,Anaheim,4831 E Copa De Oro Dr,4998888,5053300,15008,9503,526.0,0.70 Acres,20995,0.69,0.0,2013-05-23,['Forced Air'],True,4,True,0,True,True,True,BHHS CA Properties,32
25161542,25161542,FOR_SALE,SingleFamily,1956,3,2,0,2022-09-07,250,5,-118.00229,33.813843,CA,92804,Anaheim,3204 W Sunview Dr,769000,861200,3705,1820,423.0,"8,200 sqft",3230,0.69,0.0,2000-01-28,['Central'],True,2,True,0,False,True,False,ReMax Tiffany Real Estate,66
25407943,25407943,FOR_SALE,SingleFamily,1975,4,2,0,2022-05-09,2174,43,-117.77168,33.862404,CA,92808,Anaheim,7401 E Calle Granada,950000,943300,3882,2174,437.0,"7,200 sqft",3990,0.69,0.0,2022-04-05,['Natural Gas'],True,2,True,0,True,True,False,Opendoor Brokerage Inc.,47
25418558,25418558,FOR_SALE,SingleFamily,1977,3,3,0,2022-08-12,3807,165,-117.75606,33.831306,CA,92807,Anaheim,6691 E Smokewood Cir,1169900,1182300,4125,2196,533.0,"9,700 sqft",4914,0.69,0.0,0,['Central'],True,3,True,0,True,True,True,"JP Real Estate Services, Inc.",45
25335220,25335220,FOR_SALE,SingleFamily,1920,2,1,0,2022-03-17,4522,142,-117.92881,33.83396,CA,92801,Anaheim,208 N Carleton Ave,649900,500500,2250,858,757.0,"3,375 sqft",2730,0.69,0.0,2021-11-29,['Forced Air'],True,1,True,0,False,True,False,"GenStone, Inc.",102
2064224539,2064224539,FOR_SALE,SingleFamily,1955,4,2,Ranch,2022-08-12,3707,94,-117.95542,33.82914,CA,92804,Anaheim,2119 W Broadway,899900,0,0,1348,668.0,"7,690 sqft",3780,0.69,0.0,2022-06-30,['Central'],True,2,True,0,True,True,False,Century 21 Award,67
25239839,25239839,FOR_SALE,SingleFamily,1959,4,2,"See Remarks,Traditional",2022-08-05,3636,143,-118.01368,33.816513,CA,92804,Anaheim,1217 S Oriole Pl,974888,1001600,3800,2015,484.0,"10,425 sqft",4095,0.69,0.0,2015-04-01,"['Central', 'Natural Gas', 'See Remarks']",True,2,True,0,True,False,False,First Team Real Estate,63
25129224,25129224,FOR_SALE,SingleFamily,1954,4,2,0,2022-07-19,3652,126,-117.92779,33.81849,CA,92802,Anaheim,953 S Salem St,799900,800400,3229,1339,597.0,"7,857 sqft",3360,0.69,0.0,2020-01-22,0,True,2,True,0,False,True,False,L.S. Gateway Realtors,68
25403570,25403570,FOR_SALE,SingleFamily,1985,3,3,0,2022-08-29,2270,129,-117.751724,33.861477,CA,92808,Anaheim,7916 E Saffron St,1195000,1195000,3734,1848,647.0,"5,000 sqft",5019,0.69,0.0,2022-05-13,['Central'],True,2,True,0,True,True,False,"Zutila, Inc.",37
25388898,25388898,FOR_SALE,SingleFamily,1970,5,3,Traditional,2022-07-10,2998,75,-117.80549,33.869713,CA,92807,Anaheim,1840 N Tympani St,965000,965919,4300,2559,377.0,"6,050 sqft",4053,0.69,0.0,2002-06-07,"['Central', 'Forced Air', 'High Efficiency']",True,2,True,0,True,True,True,First Choice Real Estate,52
25388893,25388893,FOR_SALE,SingleFamily,1971,5,2,0,2022-09-01,1513,56,-117.80472,33.869797,CA,92807,Anaheim,5036 E Glenview Ave,965000,958200,3967,2007,481.0,"7,750 sqft",4053,0.69,0.0,2015-06-01,['Central'],True,2,True,0,False,True,False,The Home Agency,51
25344355,25344355,FOR_SALE,SingleFamily,1970,4,3,0,2022-09-02,1227,36,-117.87495,33.840317,CA,92806,Anaheim,2625 E Ward Ter,1050000,1050000,4097,2361,445.0,"5,100 sqft",4410,0.69,0.0,1995-11-21,['Central'],True,3,True,0,True,True,False,ASH REALTY,52
25125985,25125985,FOR_SALE,SingleFamily,1962,4,3,"Mid Century Modern,Ranch",2022-09-01,1535,87,-117.93098,33.838478,CA,92801,Anaheim,608 N Tudor Pl,1349000,1349000,4400,2721,496.0,0.34 Acres,5666,0.69,0.0,0,['Central'],True,2,True,0,True,True,True,"Paul Kott Realtors, Inc.",60
25403138,25403138,FOR_SALE,SingleFamily,1984,3,3,Cottage,2022-08-01,2619,73,-117.739845,33.86931,CA,92808,Anaheim,8459 E Amberwood St,839000,839007,3300,1379,608.0,"3,500 sqft",3524,0.69,0.0,0,['Forced Air'],True,2,True,0,False,True,False,Seven Gables Real Estate,38
25389554,25389554,FOR_SALE,SingleFamily,1962,3,2,0,2022-08-31,1543,88,-117.800095,33.865383,CA,92807,Anaheim,5247 E Minuet Ln,930000,938600,3764,1897,490.0,"7,200 sqft",3906,0.69,0.0,0,"['Central', 'Wall Furnace']",True,2,True,0,False,True,False,24 Hour Real Estate,60
25175210,25175210,FOR_SALE,SingleFamily,1965,4,3,0,2022-08-05,5899,240,-117.93288,33.797447,CA,92802,Anaheim,1506 W Tonia Ct,1060000,1060008,3999,2235,474.0,"7,568 sqft",4452,0.69,0.0,2022-04-27,['Central'],True,2,True,0,True,True,False,Frontier Realty Inc,57
25227337,25227337,FOR_SALE,SingleFamily,1954,4,2,0,2022-08-23,2662,111,-117.93161,33.80598,CA,92802,Anaheim,1415 W Kimberly Ln,849000,855200,3128,1310,648.0,"7,706 sqft",3566,0.69,0.0,2001-03-22,['Central'],True,2,True,0,False,True,False,Premier One REALTORS®,68
25221270,25221270,FOR_SALE,SingleFamily,1954,4,2,A-Frame,2022-08-30,1909,64,-117.9612,33.811703,CA,92804,Anaheim,9852 Harriet Ln,775000,780700,3200,1380,562.0,"7,244 sqft",3255,0.69,0.0,2006-01-13,['Central'],True,0,True,0,0,False,False,"Exp Commercial of California, Inc.",68
25220882,25220882,FOR_SALE,SingleFamily,1955,4,2,Ranch,2022-09-08,158,2,-117.97459,33.81892,CA,92804,Anaheim,2558 W Heffron Dr,888000,889000,3399,1638,542.0,"7,900 sqft",3730,0.69,0.0,0,['Central'],True,2,True,0,False,True,False,Compass Newport Beach,67
25394130,25394130,FOR_SALE,SingleFamily,1973,3,2,Craftsman,2022-06-24,2555,133,-117.77853,33.862923,CA,92807,Anaheim,1224 N Hinsdale Pl,899000,896300,3634,1825,493.0,"5,187 sqft",3776,0.69,0.0,1994-01-28,"['Central', 'Fireplace(s)', 'Forced Air']",True,2,True,0,True,True,True,Coldwell Banker Realty,49
25415687,25415687,FOR_SALE,SingleFamily,1979,5,3,Traditional,2022-07-31,3139,58,-117.78611,33.838562,CA,92807,Anaheim,695 S Pathfinder Trl,1549000,1603200,5658,3476,446.0,"10,000 sqft",6506,0.69,0.0,2018-03-07,"['Central', 'Solar']",True,3,True,0,True,True,True,GoTo Real Estate Solutions,43
25223684,25223684,FOR_SALE,SingleFamily,1961,4,2,0,2022-09-01,1045,40,-117.95746,33.822445,CA,92804,Anaheim,2158 W Niobe Ave,799900,807300,3128,1438,556.0,"7,250 sqft",3360,0.69,0.0,2011-11-15,['Central'],True,2,True,0,False,True,False,Homequest Real Estate,61
25418566,25418566,FOR_SALE,SingleFamily,1978,4,3,0,2022-08-18,3745,101,-117.757095,33.83171,CA,92807,Anaheim,6675 E Leafwood Dr,1299000,1178100,4581,2582,503.0,0.26 Acres,5456,0.69,0.0,2018-01-11,['Central'],True,3,True,0,False,True,False,BHHS CA Properties,44
25413336,25413336,FOR_SALE,SingleFamily,1991,5,7,"Custom Built,Mediterranean",2022-08-15,5851,150,-117.8124,33.840435,CA,92807,Anaheim,4721 E Copa De Oro Dr,6250000,0,0,10000,625.0,0.80 Acres,26250,0.69,0.0,2015-06-15,"['Central', 'Forced Air']",True,4,True,0,True,True,True,Seven Gables Real Estate,31
25243078,25243078,FOR_SALE,SingleFamily,1981,3,3,0,2022-08-25,1730,14,-118.00555,33.8328,CA,92801,Anaheim,3311 W Lincoln Ave APT 1,675000,675600,3200,1604,421.0,"1,581 sqft",2835,0.69,0.0,1995-05-01,0,True,2,True,0,False,True,False,KALEO REAL ESTATE COMPANY,41
25160610,25160610,FOR_SALE,SingleFamily,1961,4,2,0,2022-07-23,969,30,-118.00999,33.821453,CA,92804,Anaheim,3429 W Faircrest Dr,860000,905400,3499,1678,513.0,"8,532 sqft",3612,0.69,0.0,1999-08-05,['Forced Air'],True,2,True,0,True,True,False,Keller Williams Pacific Estates Cerritos,61
25225633,25225633,FOR_SALE,SingleFamily,1955,4,2,Contemporary,2022-05-22,2643,66,-117.94476,33.806145,CA,92804,Anaheim,1653 S Pounders Ln,838499,837600,3436,1781,471.0,"7,097 sqft",3522,0.69,0.0,2005-03-09,"['Central', 'Natural Gas']",True,2,True,0,True,True,True,RE/MAX TIME REALTY,67
25389068,25389068,FOR_SALE,SingleFamily,1973,3,2,Traditional,2022-08-19,2652,96,-117.799904,33.87007,CA,92807,Anaheim,1905 N Cloud Crest Cir,845000,846100,3300,1373,615.0,"5,100 sqft",3549,0.69,0.0,0,"['Central', 'Electric', 'Fireplace(s)']",True,2,True,0,False,True,False,Redfin,49
25406749,25406749,FOR_SALE,SingleFamily,2014,5,6,Mediterranean,2022-08-31,1625,53,-117.77356,33.847996,CA,92807,Anaheim,387 S Henning Way,3400000,3390700,10295,4991,681.0,0.57 Acres,14280,0.69,0.0,2018-06-05,"['Central', 'Fireplace(s)', 'Solar']",True,3,True,0,False,True,False,Luxe Real Estate,8
25127574,25127574,FOR_SALE,SingleFamily,1958,3,2,0,2022-08-24,2332,103,-117.90448,33.845486,CA,92805,Anaheim,1211 E Wilhelmina St,811000,815700,3227,1458,556.0,"6,120 sqft",3406,0.69,0.0,2021-12-22,['Natural Gas'],True,2,True,0,0,True,False,Opendoor Brokerage Inc.,64
25415413,25415413,FOR_SALE,SingleFamily,1980,3,2,0,2022-06-17,2730,77,-117.77954,33.841434,CA,92807,Anaheim,6070 E Silverspur Trl,950000,940900,3934,2000,475.0,"5,200 sqft",3990,0.69,0.0,2005-09-09,"['Central', 'Fireplace(s)', 'Forced Air']",True,2,True,0,False,True,False,BHHS CA Properties,42
25513124,25513124,FOR_SALE,SingleFamily,1994,3,3,0,2022-09-02,585,9,-117.727234,33.85967,CA,92808,Anaheim,901 S Sedona Ln,1250000,1367300,3891,2065,605.0,"6,600 sqft",5250,0.69,0.0,1998-01-05,['Forced Air'],True,2,True,0,False,True,False,Homequest Real Estate,28
25418504,25418504,FOR_SALE,SingleFamily,1977,4,3,0,2022-08-20,2795,139,-117.752174,33.832592,CA,92807,Anaheim,1090 S Rimwood Dr,1450000,1427200,4411,2500,580.0,"6,237 sqft",6090,0.69,0.0,2012-12-06,"['Central', 'Natural Gas', 'Solar']",True,3,True,0,True,True,False,Hyve Properties Inc.,45
25403239,25403239,FOR_SALE,SingleFamily,1984,3,2,0,2022-09-02,835,18,-117.74007,33.86647,CA,92808,Anaheim,191 S Larkwood St,959999,960000,3300,1374,699.0,"5,000 sqft",4032,0.69,0.0,2012-05-25,"['Central', 'Fireplace(s)', 'Forced Air', 'Natural Gas']",True,2,True,0,False,True,False,Redfin,38
25128295,25128295,FOR_SALE,SingleFamily,1930,2,1,Custom Built,2022-08-24,1238,53,-117.92262,33.82908,CA,92805,Anaheim,422 S Ohio St,789900,800500,2699,1216,650.0,"5,472 sqft",3318,0.69,0.0,0,"['Central', 'Forced Air']",True,2,True,0,False,True,False,Century 21 Award,92
25406091,25406091,FOR_SALE,SingleFamily,2002,5,5,"Custom Built,Mediterranean",2022-07-19,3684,73,-117.75985,33.854996,CA,92808,Anaheim,7589 E Vista Del Sol Dr,3490000,3409888,11294,6500,537.0,0.56 Acres,14658,0.69,0.0,2002-01-31,"['Central', 'Forced Air', 'Zoned']",True,4,True,0,True,True,True,"Circa Properties, Inc.",20
25323816,25323816,FOR_SALE,SingleFamily,1950,4,3,0,2022-08-02,3008,78,-117.90718,33.820747,CA,92805,Anaheim,212 E Charlotte Ave,831000,779300,3399,1593,522.0,"6,115 sqft",3490,0.69,0.0,2022-07-13,['Natural Gas'],True,2,True,0,0,True,False,Opendoor Brokerage Inc.,72
25240593,25240593,FOR_SALE,SingleFamily,1959,4,2,0,2022-07-19,3275,61,-118.01451,33.814186,CA,92804,Anaheim,1325 S Moonstone St,799000,798600,2999,1187,673.0,"6,417 sqft",3356,0.69,0.0,2006-06-29,['Central'],True,2,True,0,False,False,True,Above Standards Realty,63
25412489,25412489,FOR_SALE,SingleFamily,1978,4,3,0,2022-09-07,411,6,-117.8021,33.840977,CA,92807,Anaheim,584 S Andover Dr,1427000,1490200,4699,3066,465.0,"10,212 sqft",5993,0.69,0.0,2014-04-24,['Central'],True,3,True,0,False,True,True,Coldwell Banker Realty,44
2061770895,2061770895,FOR_SALE,SingleFamily,1922,5,2,0,2022-08-26,2231,44,-117.925896,33.829975,CA,92805,Anaheim,1022 1/2 W Broadway,771750,0,0,1824,423.0,"5,358 sqft",3241,0.69,0.0,0,0,True,2,True,0,False,True,False,California Freedom Real Estate,100
25164781,25164781,FOR_SALE,SingleFamily,1957,4,2,0,2022-06-25,1933,68,-117.88161,33.843086,CA,92806,Anaheim,2427 E Seville Ave,979999,967900,3699,1830,536.0,"8,000 sqft",4116,0.69,0.0,2021-05-03,['Central'],True,2,True,0,False,True,False,Adequate Real Estate Service,65
